45,26.565,18.435,14.036,11.31,9.4623,8.1301,7.125,6.3402,5.7106,5.1944,4.7636,4.3987,4.0856,3.8141,3.5763
63.435,45,33.69,26.565,21.801,18.435,15.945,14.036,12.529,11.31,10.305,9.4623,8.7462,8.1301,7.5946,7.125
71.565,56.31,45,36.87,30.964,26.565,23.199,20.556,18.435,16.699,15.255,14.036,12.995,12.095,11.31,10.62
75.964,63.435,53.13,45,38.66,33.69,29.745,26.565,23.962,21.801,19.983,18.435,17.103,15.945,14.931,14.036
78.69,68.199,59.036,51.34,45,39.806,35.538,32.005,29.055,26.565,24.444,22.62,21.038,19.654,18.435,17.354
80.538,71.565,63.435,56.31,50.194,45,40.601,36.87,33.69,30.964,28.61,26.565,24.775,23.199,21.801,20.556
81.87,74.055,66.801,60.255,54.462,49.399,45,41.186,37.875,34.992,32.471,30.256,28.301,26.565,25.017,23.629
82.875,75.964,69.444,63.435,57.995,53.13,48.814,45,41.634,38.66,36.027,33.69,31.608,29.745,28.072,26.565
83.66,77.471,71.565,66.038,60.945,56.31,52.125,48.366,45,41.987,39.289,36.87,34.695,32.735,30.964,29.358
84.289,78.69,73.301,68.199,63.435,59.036,55.008,51.34,48.013,45,42.274,39.806,37.569,35.538,33.69,32.005
84.806,79.695,74.745,70.017,65.556,61.39,57.529,53.973,50.711,47.726,45,42.51,40.236,38.157,36.254,34.509
85.236,80.538,75.964,71.565,67.38,63.435,59.744,56.31,53.13,50.194,47.49,45,42.709,40.601,38.66,36.87
85.601,81.254,77.005,72.897,68.962,65.225,61.699,58.392,55.305,52.431,49.764,47.291,45,42.879,40.914,39.094
85.914,81.87,77.905,74.055,70.346,66.801,63.435,60.255,57.265,54.462,51.843,49.399,47.121,45,43.025,41.186
86.186,82.405,78.69,75.069,71.565,68.199,64.983,61.928,59.036,56.31,53.746,51.34,49.086,46.975,45,43.152
86.424,82.875,79.38,75.964,72.646,69.444,66.371,63.435,60.642,57.995,55.491,53.13,50.906,48.814,46.848,45
