1.4142,2.2361,3.1623,4.1231,5.099,6.0828,7.0711,8.0623,9.0554,10.05,11.045,12.042,13.038,14.036,15.033,16.031
2.2361,2.8284,3.6056,4.4721,5.3852,6.3246,7.2801,8.2462,9.2195,10.198,11.18,12.166,13.153,14.142,15.133,16.125
3.1623,3.6056,4.2426,5,5.831,6.7082,7.6158,8.544,9.4868,10.44,11.402,12.369,13.342,14.318,15.297,16.279
4.1231,4.4721,5,5.6569,6.4031,7.2111,8.0623,8.9443,9.8489,10.77,11.705,12.649,13.601,14.56,15.524,16.492
5.099,5.3852,5.831,6.4031,7.0711,7.8102,8.6023,9.434,10.296,11.18,12.083,13,13.928,14.866,15.811,16.763
6.0828,6.3246,6.7082,7.2111,7.8102,8.4853,9.2195,10,10.817,11.662,12.53,13.416,14.318,15.232,16.155,17.088
7.0711,7.2801,7.6158,8.0623,8.6023,9.2195,9.8995,10.63,11.402,12.207,13.038,13.892,14.765,15.652,16.553,17.464
8.0623,8.2462,8.544,8.9443,9.434,10,10.63,11.314,12.042,12.806,13.601,14.422,15.264,16.125,17,17.889
9.0554,9.2195,9.4868,9.8489,10.296,10.817,11.402,12.042,12.728,13.454,14.213,15,15.811,16.643,17.493,18.358
10.05,10.198,10.44,10.77,11.18,11.662,12.207,12.806,13.454,14.142,14.866,15.62,16.401,17.205,18.028,18.868
11.045,11.18,11.402,11.705,12.083,12.53,13.038,13.601,14.213,14.866,15.556,16.279,17.029,17.804,18.601,19.416
12.042,12.166,12.369,12.649,13,13.416,13.892,14.422,15,15.62,16.279,16.971,17.692,18.439,19.209,20
13.038,13.153,13.342,13.601,13.928,14.318,14.765,15.264,15.811,16.401,17.029,17.692,18.385,19.105,19.849,20.616
14.036,14.142,14.318,14.56,14.866,15.232,15.652,16.125,16.643,17.205,17.804,18.439,19.105,19.799,20.518,21.26
15.033,15.133,15.297,15.524,15.811,16.155,16.553,17,17.493,18.028,18.601,19.209,19.849,20.518,21.213,21.932
16.031,16.125,16.279,16.492,16.763,17.088,17.464,17.889,18.358,18.868,19.416,20,20.616,21.26,21.932,22.627
